test_type	geneA	geneB	beta	se	p	q	sig	delta_ci_low	delta_ci_high	phenotype_score
pair_vs_single	MED12	SOCS3	0.0109678218388038	NA	0.108709159918004	0.144945546557339	FALSE	-0.00212032373255502	0.0243064947036583	Stemness
pair_vs_single	MED12	NR4A1	0.00704689575552452	NA	0.348170323294296	0.417804387953155	FALSE	-0.00727183878028338	0.0209174019966703	Stemness
pair_vs_single	TRAF6	ZC3H12A	0.00817426343525595	NA	0.189022965806462	0.243029527465451	FALSE	-0.00440343241763462	0.0194361143808453	Stemness
pair_vs_single	TRAF6	SOCS3	0.00768062470884917	NA	0.200288056887156	0.248633449928884	FALSE	-0.00396759030808975	0.0192847316522783	Stemness
pair_vs_single	TRAF6	NR4A1	-0.0023487818736151	NA	0.71158957552603	0.75344778585109	FALSE	-0.0152439332864144	0.00975871715452854	Stemness
pair_vs_single	ZC3H12A	SOCS3	0.0106929797703801	NA	0.0257900272620178	0.0386850408930267	TRUE	0.000948530900350793	0.0200509047396612	Stemness
pair_vs_single	ZC3H12A	NR4A1	0.00281906621687706	NA	0.551370216662123	0.620291493744888	FALSE	-0.00690484571844668	0.0126500843276277	Stemness
pair_vs_single	SOCS3	NR4A1	0.0145946865433171	NA	0.00564055443909187	0.00882869390466553	TRUE	0.00393535986618935	0.0251189873997339	Stemness
single	RASA2	NA	0.00170761522863824	0.00162875941758959	0.294447608467014	0.353337130160417	FALSE	NA	NA	Exhaustion
single	MED12	NA	0.00423201656705832	0.00179661765887206	0.0184954784517546	0.0544389342929762	FALSE	NA	NA	Exhaustion
single	TRAF6	NA	0.00259407495918334	0.00175079274966984	0.138431488851444	0.207647233277166	FALSE	NA	NA	Exhaustion
single	ZC3H12A	NA	0.00471058677447238	0.00156884413533693	0.00267697817801268	0.0160618690680761	TRUE	NA	NA	Exhaustion
single	SOCS3	NA	0.00366683746076785	0.00166043766374947	0.0272194671464881	0.0544389342929762	FALSE	NA	NA	Exhaustion
single	NR4A1	NA	-7.42088930314061e-05	0.00166276647376534	0.964402409554173	0.964402409554173	FALSE	NA	NA	Exhaustion
pair	RASA2	MED12	-0.00280497569631979	0.00638941921147594	0.660659193113615	0.85069500458314	FALSE	NA	NA	Exhaustion
pair	RASA2	TRAF6	0.00916617860879425	0.00541490629203847	0.090499688208907	0.339373830783401	FALSE	NA	NA	Exhaustion
pair	RASA2	ZC3H12A	0.00107972441286114	0.00413460513457716	0.793982004277598	0.85069500458314	FALSE	NA	NA	Exhaustion
pair	RASA2	SOCS3	0.00434990847018329	0.00427944874024413	0.309408161297703	0.814050146909319	FALSE	NA	NA	Exhaustion
pair	RASA2	NR4A1	0.0117863511049216	0.00441074136443717	0.00753573486210171	0.113036022931526	FALSE	NA	NA	Exhaustion
pair	MED12	TRAF6	-0.00237263003853539	0.006373111969919	0.709678790849989	0.85069500458314	FALSE	NA	NA	Exhaustion
pair	MED12	ZC3H12A	-0.00471991467824555	0.00646308517356579	0.465214054586605	0.85069500458314	FALSE	NA	NA	Exhaustion
pair	MED12	SOCS3	-0.00340529759041252	0.00618794470437617	0.582105687076852	0.85069500458314	FALSE	NA	NA	Exhaustion
pair	MED12	NR4A1	0.00205376919849418	0.00674347322583791	0.760703887660384	0.85069500458314	FALSE	NA	NA	Exhaustion
pair	TRAF6	ZC3H12A	0.0008611277533558	0.00556500735337076	0.877026504642411	0.877026504642411	FALSE	NA	NA	Exhaustion
pair	TRAF6	SOCS3	0.00400446094458586	0.00531555021026904	0.451240615525144	0.85069500458314	FALSE	NA	NA	Exhaustion
pair	TRAF6	NR4A1	0.0110112397901668	0.00579297742440549	0.0573293834663157	0.286646917331579	FALSE	NA	NA	Exhaustion
pair	ZC3H12A	SOCS3	-0.00132024298355408	0.00421549712654564	0.754137858302828	0.85069500458314	FALSE	NA	NA	Exhaustion
pair	ZC3H12A	NR4A1	-0.00423177327764025	0.00430506985387916	0.325620058763728	0.814050146909319	FALSE	NA	NA	Exhaustion
pair	SOCS3	NR4A1	0.00988141434709637	0.00450922393782319	0.0284244463773584	0.213183347830188	FALSE	NA	NA	Exhaustion
pair_vs_single	RASA2	MED12	-0.00867251280423728	NA	0.190221828898374	0.489141845738676	FALSE	-0.0209825307336374	0.00458599302405808	Exhaustion
pair_vs_single	RASA2	TRAF6	0.00376997386331799	NA	0.516168984391049	0.743283337523111	FALSE	-0.00724780202002859	0.0143250131757598	Exhaustion
pair_vs_single	RASA2	ZC3H12A	-0.0048329857525286	NA	0.252395418590896	0.567889691829515	FALSE	-0.0125789837980738	0.00349053940448485	Exhaustion
pair_vs_single	RASA2	SOCS3	-0.00144542311843754	NA	0.743555988259776	0.829858786538601	FALSE	-0.0101724125598135	0.00742331041402296	Exhaustion
pair_vs_single	RASA2	NR4A1	0.00608047183517732	NA	0.187514356198507	0.489141845738676	FALSE	-0.00345425562922309	0.0146545578193612	Exhaustion
pair_vs_single	MED12	TRAF6	-0.00803768786271266	NA	0.209221384586478	0.502131323007547	FALSE	-0.0207228871239592	0.00443907386682844	Exhaustion
pair_vs_single	MED12	ZC3H12A	-0.010732993504813	NA	0.111314953268735	0.400733831767446	FALSE	-0.0231979611451676	0.00229028882359654	Exhaustion
pair_vs_single	MED12	SOCS3	-0.00929534566855327	NA	0.142543884775138	0.427631654325414	FALSE	-0.0211195002607342	0.00292949292286394	Exhaustion
pair_vs_single	MED12	NR4A1	-0.00390603350765107	NA	0.59157334747869	0.788764463304919	FALSE	-0.0172110037536776	0.00949608807289586	Exhaustion
pair_vs_single	TRAF6	ZC3H12A	-0.00484162352781286	NA	0.398511597861084	0.652109887409047	FALSE	-0.0159180395915324	0.00612013956494243	Exhaustion
pair_vs_single	TRAF6	SOCS3	-0.00175045116375607	NA	0.73862685860964	0.829858786538601	FALSE	-0.0129584763431433	0.00831708522541127	Exhaustion
pair_vs_single	TRAF6	NR4A1	0.00546280520722274	NA	0.373676191990925	0.643880876624299	FALSE	-0.00624729277704303	0.0170326193897271	Exhaustion
pair_vs_single	ZC3H12A	SOCS3	-0.00700995684873939	NA	0.105264304021617	0.400733831767446	FALSE	-0.0157549478137323	0.00139151425186218	Exhaustion
pair_vs_single	ZC3H12A	NR4A1	-0.00977414590371428	NA	0.0265114245738601	0.170546678264151	FALSE	-0.0186222450361917	-0.000796392251874635	Exhaustion
pair_vs_single	SOCS3	NR4A1	0.00400598778731448	NA	0.375597178030841	0.643880876624299	FALSE	-0.00479748032303501	0.0131334898544668	Exhaustion
