Gene	score_fdr_pos	score_tophalf_pos	score_pos	n_fdr_guides_pos	pval_pos	qval_pos	score_fdr_neg	score_tophalf_neg	score_neg	n_fdr_guides_neg	pval_neg	qval_neg	z_pos
DNMT3A_PTPRF	-0.42435839295458	-1.45852111232703	-1.58582863021341	3	0.00965015615268019	0.432902618989531	2.74960313425921	3.17904804791639	4.55384961504599	16	1.00359046962285e-81	1.02442348535954e-81	1.9948879369255
SOCS6_TBX21	-0.263843253054729	-1.54130351172445	-1.59407216233539	2	0.0102475203460058	0.441650828960118	3.84746811608317	4.33458164341104	6.25831570145263	16	3.56093020210905e-125	7.32526027899666e-125	1.97725835394446
PTPRF_ZBTB7B	-0.640763234087068	-1.3392292510326	-1.59553454466742	4	0.0103567939572646	0.441650828960118	3.26775216209511	3.87185101281422	5.50572709386178	16	7.84930699002321e-105	9.97053053824607e-105	1.97413090926528
INPPL1_KLRG1	3.82394193169378	-1.97801585875897	-1.59562166558959	1	0.0103633358379379	0.441650828960118	5.18665371544525	4.64547737186485	7.23880422958748	10	1.99082688641593e-154	1.22368854532825e-153	1.97394459282907
EZH2_PTPN7	-0.789032342795384	-1.36120204813073	-1.59791175096935	3	0.0105365942651153	0.44167330386721	2.88752517503283	3.3054414689481	4.74920405646452	16	3.14962869877144e-86	3.28450268464868e-86	1.96904702590767
DLG1_TRAF6	-0.0456294504246988	-1.59815899039174	-1.60728488047668	2	0.0112722935150639	0.464891201903524	3.34905936519663	3.86347072077068	5.538000403369	16	1.14827803929786e-105	1.48290249822456e-105	1.94900169072896
GSK3B_PTPN11	0.362619024677403	-1.6460563785346	-1.60979447606686	1	0.0114766951345507	0.465808086651525	3.41924550601586	3.94001355917252	5.64963631218045	16	1.40114345455371e-108	1.92930738464934e-108	1.94363468019862
FOXP3_PIK3IP1	-0.221686532500645	-1.54660550986037	-1.61311146961056	3	0.0117517924446623	0.46952083251565	3.41850387047471	4.07076089729667	5.78001283253403	16	4.92926970833788e-112	7.26882505433677e-112	1.93654097181477
ITCH_ZBTB7B	-0.629988771374564	-1.42857907124995	-1.61757570266232	3	0.012131059711973	0.470686886963495	3.0097601359218	3.38462442086473	4.88950448882563	16	1.54150836381595e-89	1.64234870261558e-89	1.92699378186413
DNMT3A_SOCS3	-0.772328270870961	-1.30885409934099	-1.61778540768937	4	0.0121491335704305	0.470686886963495	2.52665752539438	2.8564935976371	4.11982236033429	16	3.67514626059924e-72	3.69392648913217e-72	1.92654530757894
PTPRF_SUV39H1	-0.318641492856296	-1.55647822221055	-1.62020652078181	2	0.0123594983410926	0.471690108330952	3.8538349464155	4.51728743940432	6.44420491261207	16	1.75629983784012e-130	4.23266605594457e-130	1.92136752534457
PTGES2_RIPOR2	-0.118295176347436	-1.6012384922648	-1.63672704516903	3	0.0138809195945299	0.513832804207617	3.69784737908695	4.34429187837307	6.19321556791655	16	2.41924539986062e-123	4.72214541026229e-123	1.88603680166143
